Australia;22,52;25,222; 1.12;Estate Agent
Ireland;22,167;25,935; 1.17;Estate Agent
UK;19,843;19,843; 1.00;Estate Agent
New Zealand;18,845;21,106; 1.12;Estate Agent
Saudi Arabia;37,364;28,023; 0.75;Florists
Switzerland;32,31;60,743; 1.88;Florists
Germany;30,749;31,364; 1.02;Florists
France;28,378;32,351; 1.14;Florists
Netherlands;28,161;32,385; 1.15;Florists
Brazil;27,974;18,183; 0.65;Florists
USA;27,89;30,4; 1.09;Florists
Spain;27,482;23,085; 0.84;Florists
Thailand;27,179;20,656; 0.76;Florists
Belgium;27,163;30,423; 1.12;Florists
